NUMBER,Genus,SPECIES,SUBSPECIES,MORPHOTYPE,HERBARIUM,COLLECTOR,COLNUMBER,COUNTRY,LATITUDE,DLATITUDE,LONGITUDE,DLONGITUDE,ELEVATION,PLHEIGHT,STEMHEIGHT,STEMDIAMETER,INTERNODE,LEAFNUMBER,SHEATH,PETIOLE,RACHISLEN,RACHISWID,NODIVISIONS,BASPINLEN,BASPINWID,BASPINANG,APINLEN,APINWID,APINANG,ORDERS,PROPHYLL,PEDBRACT,DISTANCE,PEDUNCLELEN,PEDUNCLEWID,NORACHILLAE,RACHILLLEN,RACHILLWID,FRUITLEN,FRUITDIAM,STEMBRANCH,INTERNOD,INTERCOLOR,LEAFDIVI,PLICATE,BLADEBASE,PETCOLOR,VEINADAX,VENATION,INFLOBRAN,BRACTS,PROPHYLLS,PROSURFACE,RIDGED,PEDUNCBRACT,RACHSURFACE,RACHRUGOS,RACHNARROW,PITARRANG,PITINSIDE,PROXLIP,PROXRECURV,HOOD,LIPCOLOR,LIPSCUPUL,DISTALIP,PETALS,STAMFLS,STAMENNO,CONNECT,ANTHERS,GYNO,PISTFLS,STAMTUBES,STAMTUBPER,STIPITATE,CONICAL,SPLITTING,SPINY,BUMPY,OPERC,SCULPT,PORES
28,Geonoma,aspidiifolia,aspidiifolia,,INPA,"Kahn, F.",578,Brazil,3,-3,60,-60,,2,,,,,9.5,19.8,18,2.2,3,12.5,1.5,65,15.2,9.5,25,1,4.6,3.2,0.5,4.4,4.4,3,6.3,3.2,8.1,6,2,,2,2,1,1,2,1,2,2,2,,,,1,1,1,2,2,2,2,1,2,,1,2,2,2,,,,,,,2,,,1,2,,1,,
13,Geonoma,aspidiifolia,aspidiifolia,,BH,"Madison, M.",5691,Brazil,3.02,-3.03,60.09,-60.15,,3,,0.72,2.5,9,,17,18.2,2.1,3,13,1,85,14.8,8,34,1,4,4.4,0.2,3.4,3.9,4,6.5,3.6,11.2,7,2,2,2,2,1,1,2,1,2,2,2,2,2,2,1,1,1,2,2,2,2,1,2,1,1,2,2,2,2,2,1,2,2,3,2,2,2,1,2,2,1,1,1
12,Geonoma,aspidiifolia,aspidiifolia,,BH,"Moore, H.",9530,Brazil,2.53,-2.88,59.58,-59.96,,,1,0.69,2.4,7,,,13,1.8,2,13,3,70,11.4,6,40,1,6,4.7,0.8,4.7,3.6,4,8.1,3.4,,,2,2,2,2,1,1,2,1,2,2,2,2,2,2,1,1,1,2,2,2,2,1,2,1,1,2,2,2,,,,2,2,3,2,,,,,,,,
11,Geonoma,aspidiifolia,aspidiifolia,,NY,"Mori, S.",19271,Brazil,2,-2,60.3,-60.5,,1.5,,0.67,1.7,,,18.5,16,2.6,3,13.5,1.4,88,14.1,6,42,1,5,,,4.8,4.1,4,8.7,3.5,9,6.4,,2,2,2,1,1,2,1,2,2,2,2,2,2,,1,1,2,2,2,2,1,2,1,1,2,2,2,2,2,1,2,2,3,2,2,2,1,2,2,1,1,1
2,Geonoma,aspidiifolia,aspidiifolia,,NY,"Prance, G.",17781,Brazil,2,-2,60.3,-60.5,,1.2,,0.73,3.1,,9,22,16,2.6,3,13.3,0.9,88,15.2,6.5,35,1,5.5,,,5,4.6,3,6,3.1,,,,2,2,2,1,1,2,1,2,2,2,2,2,2,,1,1,2,2,2,2,1,2,1,1,2,2,2,2,2,1,2,2,3,2,,,,,,,1,1
10,Geonoma,aspidiifolia,aspidiifolia,,NY,"Ramos, J.",21825,Brazil,2.3,-2.5,60.4,-60.66,,1.74,,0.64,3.2,,,29,17,2.5,3,13.5,1.1,85,12.5,7.8,38,1,5.4,,,4.5,,4,6,3.3,,,,2,2,2,1,1,2,1,2,2,2,2,2,2,,1,1,2,2,2,2,1,2,1,1,2,2,2,,,,2,2,3,2,2,2,1,2,2,1,1,1
35,Geonoma,aspidiifolia,aspidiifolia,,NY,"Spruce, R.",75,Brazil,2.58,-2.98,60.03,-60.05,,,,,,,,,16,2.7,2,13.5,3.5,70,12.5,9,40,1,4.5,3.5,0.5,3.5,,3,5.8,3.9,,,,,,2,1,1,2,1,2,2,2,2,2,2,1,1,1,2,2,2,2,1,2,1,1,2,2,2,2,2,1,,,3,2,,,,,,,,
21,Geonoma,aspidiifolia,fusca,,NY,"Boom, B.",8967,Guyana,5.05,5.08,59.5,-59.83,1135,,2,0.69,5.3,6,,,21.3,1.7,3,15.5,1.5,60,,8.5,30,1,5.8,4.5,0.7,6,3,2,6,3.6,7.9,7.3,1,2,2,2,1,1,2,1,2,2,2,2,2,2,1,1,1,2,2,2,2,1,2,1,1,2,2,2,,,,2,2,,2,2,2,1,2,2,1,1,1
20,Geonoma,aspidiifolia,fusca,,NY,"Boom, B.",9010,Guyana,5.05,5.08,59.5,-59.83,1185,,1.5,0.65,2.2,,,,14.9,1.8,3,11,1.5,60,10.5,7.5,37,1,,,0.3,4.5,2.6,2,6.6,3.3,,,,2,2,2,1,1,2,1,2,2,2,2,2,2,,1,1,2,2,2,2,1,2,1,1,2,2,2,,,,2,2,3,2,,,,,,,,
24,Geonoma,aspidiifolia,fusca,,NY,"Clarke, D.",9016,Guyana,5.19,5.32,59.56,-59.93,1008,1.5,,0.82,2,,,,19.7,2.2,3,14,0.8,80,,7.3,38,,6,,,,,3,4,3.2,,,,2,2,2,1,1,2,1,2,2,2,2,2,2,,1,1,2,2,2,2,1,2,1,1,2,2,2,,,,2,2,3,2,,,,,,,,
22,Geonoma,aspidiifolia,fusca,,NY,"Clarke, D.",9213,Guyana,5.22,5.36,59.57,-59.95,1120,1,,0.72,3.5,,,28,18.8,2.1,2,16,1.3,65,14.5,13.8,30,1,8,,,,,,8,3.3,11.2,7.3,,2,2,2,1,1,2,1,2,2,2,2,2,2,,1,1,2,2,2,2,1,2,1,1,2,2,2,,,,,,,2,2,2,1,2,2,1,1,1
23,Geonoma,aspidiifolia,fusca,,NY,"Clarke, D.",10290,Guyana,5.06,5.1,59.48,-59.8,1070,1,,0.66,1.2,,,19,12,1.3,2,,,,,,,1,5.6,,,5,2.2,2,6.7,3.2,,,,2,2,2,1,1,2,1,2,2,2,2,2,2,,1,1,2,2,2,2,1,2,1,1,2,2,2,,,,2,2,3,2,,,,,,,,
36,Geonoma,aspidiifolia,fusca,,K,Forest Department,1148,Guyana,5.13,5.21,59.06,-59.1,,,,,,,,,38,3.1,3,25.3,3.8,82,19.8,8.7,41,1,8.8,8.2,0.4,6,,4,16,4.9,9.7,7,,,,2,1,1,2,1,2,2,2,2,2,2,1,1,1,2,2,2,2,1,2,1,1,2,2,2,2,2,1,2,2,3,2,2,2,1,2,2,1,,
16,Geonoma,aspidiifolia,fusca,,NY,"Hahn, W.",4304,Guyana,4.58,4.96,59.53,-59.88,1350,,,1.18,7.8,,,,,,,,,,,,,1,,,0.4,6.4,2.6,3,5.6,3,,,2,2,2,,1,1,2,1,,2,2,2,2,2,,1,1,2,2,2,2,1,2,1,1,2,2,2,,,,2,2,3,2,,,,,,,,
17,Geonoma,aspidiifolia,fusca,,NY,"Henkel, T.",1359,Guyana,5.03,5.05,59.53,-59.88,1050,2.5,,0.84,2.5,,,18,,2.2,3,,,,,,,1,4.5,,,,,3,5.8,3.2,,,,2,2,2,1,1,2,1,2,2,2,2,2,2,,1,1,2,2,2,2,1,2,1,1,2,2,2,,,,2,2,3,2,,,,,,,,
26,Geonoma,aspidiifolia,fusca,,NY,"Henkel, T.",4301,Guyana,5.04,5.06,59.53,-59.88,1175,,,0.68,2,,,,12,1.5,3,10.5,0.5,80,15,4.5,33,1,5,,,4.7,2.5,3,5.2,2.3,,,,2,2,2,1,1,2,1,2,2,2,2,2,2,,1,1,2,2,2,2,1,2,1,1,2,2,2,2,2,1,2,2,3,2,,,,,,,,
25,Geonoma,aspidiifolia,fusca,,NY,"Hoffman, B.",3320,Guyana,5.26,5.43,60.02,-60.03,800,,,0.81,2,,,,,,3,,,,12,8,40,1,,,0.5,5.6,3.3,4,8.3,4.2,,,,2,2,2,1,1,2,1,2,2,,,,,,1,1,2,2,2,2,1,2,1,1,2,2,2,,,,2,2,3,2,2,2,1,2,2,1,,
27,Geonoma,aspidiifolia,fusca,,NY,"McDowell, T.",3441,Guyana,5.12,5.2,59.07,-59.11,304,1.5,,1.6,4,,,,30.5,3.2,3,,1,,17,8,38,1,,7.2,0.4,8.2,3.4,3,14.5,4.2,,,,,,2,1,1,2,1,2,2,2,2,2,2,,1,1,2,2,2,2,1,2,1,1,2,2,2,,,,2,2,3,2,,,,,,,,
18,Geonoma,aspidiifolia,fusca,,NY,"McDowell, T.",4914,Guyana,5.12,5.2,59.1,-59.16,442,3,,1.09,1.6,,,,24.5,2.4,3,17.2,1.5,78,15,9.5,36,1,8.5,,,5.5,,3,9.1,3.2,,,,2,2,2,1,1,2,1,2,2,2,2,2,2,,1,1,2,2,2,2,1,2,1,1,2,2,2,,,,2,2,,2,,,,,,,,
37,Geonoma,aspidiifolia,fusca,,NY,"Redden, K.",4105,Guyana,5.12,5.2,59.06,-59.1,102,2,,1.12,2,,,26.5,24.5,2.8,3,15,1.5,45,17.5,10.2,31,1,7.7,6.6,0.4,6.5,3.8,4,9.7,3.7,,,,2,2,2,,1,2,1,2,2,2,,,,1,1,1,2,2,2,2,1,2,,1,2,2,2,,,,,,,2,,,,,,,,
19,Geonoma,aspidiifolia,fusca,,NY,"Tillett, S.",44931,Guyana,5.22,5.38,59.55,-59.93,686,1.3,,0.85,2.5,,,,24.4,2.4,4,15,1.7,81,13,8,37,1,7.5,,,6.8,4,3,5.7,3.9,,,,2,2,2,1,1,2,1,2,2,2,2,2,2,,1,1,2,2,2,2,1,2,1,1,2,2,2,,,,2,2,,2,2,2,1,2,2,1,,
15,Geonoma,aspidiifolia,fusca,,NY,"Tillett, S.",45047,Guyana,5.22,5.38,59.55,-59.93,750,,3,0.91,3,,,26.5,27.5,3.5,3,16,1.5,82,15.5,13.3,,1,8,,0.5,8,,4,13.2,3.6,10,7.8,,2,2,2,1,1,2,1,2,2,2,2,2,2,,1,1,2,2,2,2,1,2,1,1,2,2,2,,,,2,2,3,2,2,2,1,2,2,1,,
48,Geonoma,baculifera,,,NY,"Aristeguieta, L.",7415,Venezuela,2.31,2.51,65.11,-65.18,,,,,,,,,,3.7,,,15.6,18,,,,1,23.2,,,38.5,4.4,6,16,2.9,,,,,,,1,1,2,1,2,2,2,2,1,2,,2,2,2,2,2,2,1,2,1,1,2,,2,,,,2,1,1,1,,,,,,,,
51,Geonoma,baculifera,,,NY,"Aymard, G.",7290,Venezuela,5.18,5.3,63.58,-63.98,230,,,,,,,28,55,4.3,1,,,25,29,,30,1,,,,,4.4,6,15.5,3.2,11.4,7.9,2,,,1,1,1,2,1,2,2,,,,,,2,2,2,2,2,2,1,2,1,1,2,,2,,,,2,1,1,1,1,2,1,2,2,2,,
49,Geonoma,baculifera,,,NY,"Aymard, G.",7825,Venezuela,2.58,2.96,65.21,-65.35,180,2,,,,,,,,3.7,,,,,,,,1,,,,,3.9,8,16.5,2.8,,,,,,,1,1,2,1,2,2,2,2,1,2,,2,2,2,2,2,2,1,2,1,1,2,2,2,2,1,1,2,1,1,1,,,,,,,,
8,Geonoma,baculifera,,,NY,"Aymard, G.",8503,Venezuela,3.01,3.02,65.57,-65.95,160,,,,,,,,,7.2,,,,22,,,,1,27.5,20,,,3.9,5,17,4.3,,,,,,,1,1,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,1,1,2,,2,,,,2,1,1,1,1,2,1,2,2,2,,
50,Geonoma,baculifera,,,NY,"Aymard, G.",9719,Venezuela,2.05,2.08,66.22,-66.36,500,,,,,,,,,,4,,,25,,,,1,,,,,3.9,7,16.5,3,,,,,,2,1,1,2,1,2,2,2,2,1,2,,2,2,2,2,2,2,1,2,1,1,2,2,2,2,1,1,2,1,1,1,,,,,,,,
57,Geonoma,baculifera,,,NY,"Balée, W. ",1549,Brazil,2.05,-2.08,46.2,-46.33,,,,,,,,,42,4.1,4,45,14.5,23,25,21,29,1,,,,,3.4,4,,3.3,10.5,7.9,,,,2,1,1,2,1,2,2,2,,,,,2,2,2,2,2,2,1,2,1,1,2,,2,,,,2,1,1,1,1,2,1,2,2,2,,
61,Geonoma,baculifera,,,NY,"Balée, W. ",2675,Brazil,3,-3,45.3,-45.5,,,,,,,,,51.5,4.1,1,,,20,,,24,1,,,2,24.5,4.4,6,24,3.4,11.7,8.2,,,,1,1,1,2,1,2,2,,,,,,2,2,2,2,2,2,1,2,1,1,2,,2,,,,2,1,1,1,1,2,1,2,2,2,,
87,Geonoma,baculifera,,,NY,"Balée, W. ",3347,Brazil,3.07,-3.12,46.05,-46.08,,,,,,,,,58,4.5,1,,,16,27.5,,30,1,,,,,4.5,7,19.5,3.1,11.2,7,,,,1,1,1,2,1,2,2,,,,,,2,2,2,2,2,2,1,2,1,1,2,,2,,,,2,1,1,1,1,2,1,2,2,2,,
75,Geonoma,baculifera,,,NY,"Balick, M.",1303,Brazil,1.05,-1.08,46.55,-46.92,,3.25,,1.78,5,,,,,5.4,,,,22,,,,1,,,2.5,29,5.2,7,18.2,2.8,,,2,2,1,,1,1,2,1,2,2,2,2,1,2,,2,2,2,2,2,2,1,2,1,1,2,,2,,,,2,1,1,1,,,,,,,,
71,Geonoma,baculifera,,,NY,"Berg, C.",699,Brazil,4.15,-4.25,50,-50,,3,,,,,,,50.5,3.5,1,,,15,31.5,,21,1,,,3.5,29,4.5,5,18,3.3,10.9,7.5,,,1,1,1,1,2,1,2,2,2,2,1,2,,2,2,2,2,2,2,1,2,1,1,2,,2,,,,2,1,1,1,1,2,1,2,2,2,,
34,Geonoma,baculifera,,,NY,"Boom, B.",10408,Venezuela,5.09,5.15,64.34,-64.56,170,3,,,,,,,,4,,,,18,,,,1,27.3,28,4.4,39.4,3.5,6,23.7,3.6,9.4,8.8,1,,,,1,1,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,1,1,2,2,2,2,1,1,2,1,1,1,1,2,1,2,2,2,,
96,Geonoma,baculifera,,,US,"Cardona, F.",922,Venezuela,5.4,5.66,63.5,-63.83,300,,,,,,,,,,,,,,,,,1,,,,,3.8,6,14,2.8,,,,,,,1,1,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Geonoma,baculifera,,,NY,"Clarke, D.",486,Guyana,4.27,4.45,58.47,-58.78,80,2,,,,,,,,4.2,,,,18,,,27,1,17,13.5,3.3,23.3,3.6,5,12,3.6,,,,,,,1,1,2,1,2,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Geonoma,baculifera,,,NY,"Clarke, D.",1316,Guyana,4.2,4.33,58.3,-58.5,80,1.5,,,,,,,,,,,,,,,26,1,,,,,3.3,,,,9.5,7.3,,,,,1,1,2,1,2,2,,,,,,2,2,2,2,2,2,1,2,1,1,2,2,2,2,1,1,2,1,1,1,1,2,1,2,2,2,,
21,Geonoma,baculifera,,,NY,"Clarke, D.",1490,Guyana,4.23,4.38,58.55,-58.92,65,1.5,,,,,,,,4.6,,,,20,,,,1,27.5,,,32.5,4.1,6,14.3,3.1,10.3,7.6,,,,,1,1,2,1,2,2,2,2,1,2,,2,2,2,2,2,2,1,2,1,1,2,2,2,2,1,1,2,1,1,1,1,2,1,2,2,2,,
19,Geonoma,baculifera,,,NY,"Clarke, D.",3776,Guyana,2.59,2.98,58.35,-58.58,150,,,,,,,,,,,,,15,,,,1,,,2.6,23.8,3.2,4,15,2.8,,,,,,,1,1,2,1,2,2,2,,,,,2,2,2,2,2,2,1,2,1,1,2,,2,,,,2,1,1,1,,,,,,,,
29,Geonoma,baculifera,,,NY,"Clarke, D.",4584,Guyana,1.55,1.92,59.06,-59.1,260,2,,,,,,,,5.3,1,,,26,,,25,1,,,3.7,,5.2,6,24,3.4,10.2,7.4,,,,1,1,1,2,1,2,2,,,,,,2,2,2,2,2,2,1,2,1,1,2,,2,,,,2,1,1,1,1,2,1,2,2,2,,
99,Geonoma,baculifera,,,NY,"Clarke, D.",4895,Guyana,1.49,1.81,58.44,-58.73,240,0.5,,,,,13,8,,3.1,4,,13.7,15,,,,1,,,4.5,32.5,3.5,6,7.5,2.8,8.2,9.6,,,,2,1,1,2,1,2,2,2,2,1,2,,2,2,2,2,2,2,1,2,1,1,2,2,2,2,1,1,2,1,1,1,1,2,1,2,2,2,,
15,Geonoma,baculifera,,,NY,"Clarke, D.",7921,Guyana,1.38,1.63,59.14,-59.23,240,1.5,,,,,,,,,,,,,,,,1,30.5,,,31,4.7,8,19.5,3.1,,,,,,,1,1,2,1,2,2,2,2,1,2,,2,2,2,2,2,2,1,2,1,1,2,,2,,,,2,1,1,1,,,,,,,,
16,Geonoma,baculifera,,,NY,"Clarke, D.",8723,Guyana,1.34,1.56,59.14,-59.23,275,1,,,,,,,,,,,,,,,,1,,,,,3.1,5,17,3.5,,,,,,,1,1,2,1,2,2,,,,,,2,2,2,2,2,2,1,2,1,1,2,,2,,,,2,,,,,,,,,,,
44,Geonoma,baculifera,,,NY,"Clarke, D.",11184,Surinam,4.06,4.1,56.38,-56.63,75,1.5,,,,,,,,,,,,,,,,1,,,,,3.7,5,14,2.7,8.5,6.1,,,,,1,1,2,1,2,2,,2,1,2,,2,2,2,2,2,2,1,2,1,1,2,2,2,,,,2,1,1,1,1,2,1,2,2,2,,
18,Geonoma,baculifera,,,NY,"Colella, M.",1814,Venezuela,2.35,2.58,66.18,-66.3,,1.5,,,,,,,,,,,,,,,,1,,,,,3.9,6,,2.7,9.5,7,,,,,1,1,2,1,2,2,,,,,,2,2,2,2,2,2,1,2,1,1,2,,2,,,,2,1,1,1,1,2,1,2,2,2,,
98,Geonoma,baculifera,,,NY,"Cremers, G.",15318,French Guian,4.21,4.35,52.09,-52.15,10,1.5,,,,,11,17.5,,,3,,20.5,,,,,1,,,,,3,4,20,2.8,,,,,1,2,1,1,2,1,2,2,2,2,1,2,,2,2,2,2,2,2,1,2,1,1,2,,,,,,,,,,,,,,,,,
69,Geonoma,baculifera,,,NY,"Daly, D.",1213,Brazil,3.56,-3.93,49.49,-49.81,,3,,2.25,7,,,,54,3.4,1,,,18,26.5,,30,1,,,1.3,24.5,5.1,8,19.5,3.3,12.8,8.6,,2,1,1,1,1,2,1,2,2,2,2,1,2,,2,2,2,2,2,2,1,2,1,1,2,,2,,,,2,1,1,1,1,2,1,2,2,2,,
43,Geonoma,baculifera,,,NY,"de Granville, J.-J.",46,French Guian,4.06,4.1,52.23,-52.38,,1.25,,,,,,,,,,,,,,,,1,,,,,3.6,6,14.5,3.5,11.2,8.3,,,,,1,1,2,1,2,2,2,2,1,2,,2,2,2,2,2,2,1,2,1,1,2,2,2,2,1,1,2,1,1,1,1,2,1,2,2,2,,
31,Geonoma,baculifera,,,NY,"de Granville, J.-J.",1892,French Guian,3.2,3.33,54.4,-54.66,,,1.2,,,,,,,3.1,3,,,21,,22,,1,30,27,2.5,27,4.1,5,13,3.7,,,,,,2,1,1,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,1,1,2,2,2,2,1,1,2,1,1,1,,,,,,,,
70,Geonoma,baculifera,,,NY,"de Granville, J.-J.",2141,French Guian,2.53,2.88,52.52,-52.86,,2,,1.61,3.7,,,,65.5,5.2,3,63,19.5,21,28,20.5,25,1,,,2.5,13.3,3.7,7,16,2.4,,,,2,1,2,1,1,2,1,2,2,,,,,,2,2,2,2,2,2,1,2,1,1,2,2,2,2,1,1,2,,,,,,,,,,,
1,Geonoma,baculifera,,,AAU,"de Granville, J.-J.",7067,French Guian,2.25,2.41,53.06,-53.1,,,1.5,1.72,4,,30,15,75,3.8,3,65.5,20.5,14,30.2,25.7,25,1,,,1.5,32,4.3,6,20,3.9,,,2,2,1,2,1,1,2,1,2,2,,,,,,2,2,2,2,2,2,1,2,1,1,2,2,2,,,,2,,,,,2,,,2,2,,
76,Geonoma,baculifera,,,NY,"de Granville, J.-J.",9239,French Guian,2.53,2.88,54,-54,150,2,,1.43,3.2,8,21.5,25,79,4.8,4,70,26.5,18,32.5,19,20,1,,,3.2,34,3.8,5,14.2,3.9,,,,2,1,2,1,1,2,1,2,2,2,2,1,2,,2,2,2,2,2,2,1,2,1,1,2,,2,,,,2,1,1,1,,,,,,,,
95,Geonoma,baculifera,,,US,"de Granville, J.-J.",10158,French Guian,4.33,4.55,52.09,-52.15,30,2.5,,,,,,,,3,,,,,,,,1,,,,,3,4,13.5,3,,,2,,,,1,1,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Geonoma,baculifera,,,NY,"de Granville, J.-J.",11496,French Guian,4.04,4.06,53.09,-53.15,100,2,,1.88,5.3,,,,66.5,4.2,1,,,20,,,27,1,16.2,,,28.5,4.5,6,11.5,3.6,,,2,2,1,1,1,1,2,1,2,2,2,2,1,2,,2,2,2,2,2,2,1,2,1,1,2,,,,,,,,,,,,,,,,,
12,Geonoma,baculifera,,,NY,"de Granville, J.-J.",11881,Surinam,2.27,2.45,54.28,-54.46,160,2,1.8,1.29,2.5,,16,,,,,,,,,,,1,,,,22,4.2,6,,3.2,,,2,2,1,,1,1,2,1,2,2,2,2,1,2,,2,2,2,2,2,2,1,2,1,1,2,,2,,,,2,1,1,1,,,,,,,,
93,Geonoma,baculifera,,,US,"de Granville, J.-J.",11994,Surinam,2.31,2.52,54.45,-54.75,300,1.7,,,,,,,,,1,,,,28,,25,1,,,,,2.5,4,17.5,2.9,,,2,,1,1,1,1,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Geonoma,baculifera,,,US,"de Granville, J.-J.",12489,French Guian,2.45,2.75,54.14,-54.23,140,1.5,,,,,17.5,17.5,59,3.8,1,,,24,30.5,,28,1,32.5,,,28.5,3.8,5,16,3,,,2,,,1,1,1,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Geonoma,baculifera,,,NY,"Fernández, A. ",1831,Venezuela,4.2,4.33,61.44,-61.73,500,5,,,,,,,,,,,,,35,16.8,20,1,,,,,5.4,7,15.8,3.3,,,,,,,1,1,2,1,2,2,,,,,,2,2,2,2,2,2,1,2,1,1,2,,2,,,,2,1,1,1,,,,,,,,
